rank,domain,file,title,fit_reason
1,01-poultry-egg-flow,R01__006482_8434898_girl-collecting-eggs-from-the-hens-cage-10355275.mp4,Girl Collecting Eggs From The Hens Cage,"Best direct match for egg collection workflow and poultry context"
2,01-poultry-egg-flow,R02__028614_10696440_farmer-collecting-fresh-eggs-13027472.mp4,Farmer Collecting Fresh Eggs,"Strong farm-level egg harvesting visual for production records"
3,01-poultry-egg-flow,R03__006331_8434886_female-farmer-feeding-chickens-10355262.mp4,Female Farmer Feeding Chickens,"Clear poultry farm scene that supports owner and farm context"
4,01-poultry-egg-flow,R04__012911_8434873_girl-feeding-chickens-10355249.mp4,Girl Feeding Chickens,"Useful supporting poultry care visual for farm operations"
5,01-poultry-egg-flow,R05__013460_8434903_woman-feeding-the-chickens-10355280.mp4,Woman Feeding The Chickens,"Another strong poultry husbandry scene with clean domain fit"
6,01-poultry-egg-flow,R06__004984_8434887_girl-feeding-hens-10355263.mp4,Girl Feeding Hens,"Directly relevant to hen and egg production context"
7,01-poultry-egg-flow,R07__006625_8434876_girl-inspecting-chicken-10355252.mp4,Girl Inspecting Chicken,"Good fit for inspection and quality-check storytelling"
8,01-poultry-egg-flow,R08__013448_8434890_girl-doing-smart-farming-10355266.mp4,Girl Doing Smart Farming,"Best farm-tech visual in the poultry-adjacent set"
9,01-poultry-egg-flow,R09__008602_8434902_girl-working-on-farm-10355279.mp4,Girl Working On Farm,"Broad farm background visual for owner or field workflow screens"
10,02-inventory-stock,R10__021796_10351860_warehouse-worker-checking-inventory-stock-12731801.mp4,Warehouse Worker Checking Inventory Stock,"Best direct fit for stock checking and inventory pages"
11,02-inventory-stock,R11__004969_8628629_boy-is-doing-inventory-management-10716955.mp4,Boy Is Doing Inventory Management,"Strong generic inventory management visual"
12,02-inventory-stock,R12__028585_12876476_inventory-control-15695766.mp4,Inventory Control,"Good fit for controls, audit, and stock governance"
13,02-inventory-stock,R13__029593_10304940_inventory-management-12676537.mp4,Inventory Management,"Useful general inventory administration visual"
14,02-inventory-stock,R14__023785_14276772_inventory-stock-17516433.mp4,Inventory Stock,"Direct match for stock totals and item summaries"
15,02-inventory-stock,R15__021731_7894467_inventory-check-9678887.mp4,Inventory Check,"Good for movement validation and stock review flows"
16,02-inventory-stock,R16__006241_3295207_warehouse-inventory-3959145.mp4,Warehouse Inventory,"Relevant for storage and inventory grouping sections"
17,02-inventory-stock,R17__025023_7357955_inventory-manager-9010554.mp4,Inventory Manager,"Fits admin and owner inventory maintenance stories"
18,02-inventory-stock,R18__023971_10656584_woman-check-inventory-paper-12980901.mp4,Woman Check Inventory Paper,"Useful for manual stock reconciliation and audit themes"
19,03-monitoring-dashboard,R19__000548_13823042_data-monitoring-16993473.mp4,Data Monitoring,"Strong fit for live dashboard and telemetry sections"
20,03-monitoring-dashboard,R20__000569_13823092_data-monitoring-16993523.mp4,Data Monitoring Variant,"High-fit alternate for metrics and monitoring panels"
21,03-monitoring-dashboard,R21__001889_13824524_monitoring-16992966.mp4,Monitoring,"Good generic monitoring visual for overview pages"
22,03-monitoring-dashboard,R22__001872_13824624_monitoring-16992866.mp4,Monitoring Variant,"Useful alternate monitor scene with similar system fit"
23,03-monitoring-dashboard,R23__005712_9336660_boy-is-doing-web-monitoring-11496728.mp4,Boy Is Doing Web Monitoring,"Fits browser-based monitoring and remote farm watch"
24,03-monitoring-dashboard,R24__006326_10087400_businessman-doing-web-monitoring-12254902.mp4,Businessman Doing Web Monitoring,"Good owner/admin monitoring visual"
25,03-monitoring-dashboard,R25__003015_4136071_team-working-on-statistic-dashboard-4962159.mp4,Team Working On Statistic Dashboard,"Best collaborative analytics scene for dashboards and reports"
26,03-monitoring-dashboard,R26__000542_13823071_analytics-dashboard-16993502.mp4,Analytics Dashboard,"Direct fit for dashboard cards and visual analytics"
27,03-monitoring-dashboard,R27__000547_13823066_analytics-dashboard-16993497.mp4,Analytics Dashboard Variant,"Useful alternate dashboard-focused animation"
28,03-monitoring-dashboard,R28__000180_13822936_analytics-dashboards-16993086.mp4,Analytics Dashboards,"Broad multi-dashboard visual for overview pages"
29,04-devices-network,R29__031196_11052382_smart-agriculture-sensor-13766611.mp4,Smart Agriculture Sensor,"Best direct fit for ESP32 and sensor-driven farm automation"
30,04-devices-network,R30__047321_14276550_iot-devices-17515535.mp4,IoT Devices,"Strong IoT concept visual for device registry and ingest"
31,04-devices-network,R31__012028_9040665_devices-connected-to-internet-11251316.mp4,Devices Connected To Internet,"Good fit for connected device and cloud ingest flows"
32,04-devices-network,R32__012040_9040647_device-connected-to-wi-fi-11251298.mp4,Device Connected To Wi Fi,"Good single-device connectivity visual"
33,04-devices-network,R33__007209_8628650_girl-is-connecting-all-devices-together-10716732.mp4,Girl Is Connecting All Devices Together,"Works for multi-device linkage and setup flows"
34,04-devices-network,R34__017396_9040675_devices-connected-to-wi-fi-11251326.mp4,Devices Connected To Wi Fi,"Useful alternate connectivity visual"
35,04-devices-network,R35__006075_9040612_boy-and-girl-have-global-network-connection-11251363.mp4,Boy And Girl Have Global Network Connection,"Strong fit for remote access and distributed monitoring"
36,04-devices-network,R36__000160_6248604_digital-network-7823987.mp4,Digital Network,"Good abstract background for network and telemetry sections"
37,05-weighing-measurement,R37__034770_13322978_digital-weighing-scale-16342752.mp4,Digital Weighing Scale,"Best direct match for weighing hardware and measurement story"
38,05-weighing-measurement,R38__031615_13714407_weighing-scale-16784194.mp4,Weighing Scale,"Strong weighing visual for process and device explanations"
39,05-weighing-measurement,R39__045078_12917703_weighing-scale-15815265.mp4,Weighing Scale Variant,"Useful alternate scale visual for reports or help content"
40,05-weighing-measurement,R40__029960_10304932_parcel-weighing-12676529.mp4,Parcel Weighing,"Not poultry-specific but strongly aligned to weighing action"
41,05-weighing-measurement,R41__003965_14328309_weight-scale-17566840.mp4,Weight Scale,"Good fallback measurement visual for scale-related UI"
42,05-weighing-measurement,R42__042074_14276810_bag-weighing-17517297.mp4,Bag Weighing,"Secondary weighing visual useful when explaining measurement steps"
